,Year,Month,First Day of Weekend,Rank,Film,Country of Origin,Weekend Gross,Distributor,% change on last week,Weeks on release,Number of cinemas,Site average,Total Gross to date
0,2016,01,01,1,Star Wars: The Force Awakens,UK/USA,10304562,Disney,0.010473678812020763,3,651,15828.820276497696,97383157
1,2016,01,01,2,Daddy's Home,USA,2908358,Paramount,0.7862313744734245,2,444,6550.355855855856,8142515
2,2016,01,01,3,Joy,USA,1519936,20th Century Fox, - ,1,507,2997.9013806706116,1519936
3,2016,01,01,4,"Danish Girl, The",UK/Ger,1376191,Universal, - ,1,508,2709.037401574803,1376191
4,2016,01,01,5,Snoopy And Charlie Brown: The Peanuts Movie,USA,1296199,20th Century Fox,-0.6438771103086145,2,563,2302.3072824156307,7137976
5,2016,01,01,6,"Good Dinosaur, The",USA,849828,Disney,1.12973460642057,6,553,1536.759493670886,12490579
6,2016,01,01,7,In The Heart Of The Sea,UK/USA,436453,Warner Bros,-0.23581331176221346,2,488,894.3709016393443,1906141
7,2016,01,01,8,"Hunger Games: Mockingjay, Part 2, The",USA,352830,Lionsgate,0.5501924395001846,7,213,1656.4788732394366,28462748
8,2016,01,01,9,SPECTRE,UK/USA,278547,Sony Pictures,0.3019439393868575,10,145,1921.0137931034483,94257868
9,2016,01,01,10,Branagh Theatre Live: The Winter’s Tale 2015 (Theatre),UK,230100,Picture House Entertainment,24.41698884345588,7,184,1250.5434782608695,1646385.7695304553
10,2016,01,01,11,Sherlock: The Abominable Bride,UK,224022,BBC Worldwide, - ,1,127,1763.9527559055118,224022
11,2016,01,01,12,Dilwale,Ind,162823,UTV,-0.5336054585499697,3,75,2170.9733333333334,2153067.674493735
12,2016,01,01,13,Sisters,USA,161307,Universal,0.12845500017489245,3,169,954.4792899408284,2369240
13,2016,01,01,14,Bridge Of Spies,USA,136432,20th Century Fox,0.3322136510106435,6,101,1350.8118811881188,6841063
14,2016,01,01,15,Bajirao Mastani,Ind,133150,Eros,-0.3045637391239153,3,49,2717.3469387755104,1118682.607513041
15,2016,01,01,18,"Lady In The Van, The",UK,47126,Sony,0.4643134574154057,8,55,856.8363636363637,11936537
16,2016,01,01,19,Pan,UK/USA/Aus,45597,Warner Bros,0.619614250701524,12,199,229.13065326633165,9042676
17,2016,01,01,21,Brooklyn,UK/Ire/Can,33456,Lionsgate,0.6327964860907761,9,38,880.421052631579,5076957
18,2016,01,01,26,"Lobster, The",UK/Fra/Gre/Ned/Ire,11380,Element Pictures,0.785378098525259,12,7,1625.7142857142858,1397952
19,2016,01,01,34,Steve Jobs,UK/USA,4426,Universal,1.4493635860542335,8,8,553.25,2299336
20,2016,01,01,37,Sunset Song,UK/Lux,4021,Metrodome,-0.04147794994040525,5,6,670.1666666666666,366893
21,2016,01,01,39,"Martian, The",UK/USA,3864,20th Century Fox,0.9505300353356889,14,5,772.8,23487310
22,2016,01,01,41,Paddington,UK/Fra,2885,StudioCanal,0.9080687830687831,58,19,151.8421052631579,37938642
23,2016,01,01,44,Victor Frankenstein,UK/USA,1961,20th Century Fox,1.3179669030732861,5,21,93.38095238095238,918400
24,2016,01,01,45,Peggy Guggenheim: Art Addict,UK/USA/Ita,1862,Dogwoof,-0.22351959966638865,4,2,931,67881
25,2016,01,01,46,Suffragette,UK,1838,20th Century Fox,-0.17132551848512173,12,3,612.6666666666666,9828430
26,2016,01,01,49,Doctor Zhivago (Re: 2015),UK/USA/Ita,1246,BFI,-0.791324736225088,6,2,623,86264
27,2016,01,01,51,Listen To Me Marlon,UK,1137,Picture House Entertainment, - ,11,2,568.5,47868.516442068874
28,2016,01,01,52,Hector,UK,837,Miracle Communications,3.063106796116505,4,2,418.5,42752
29,2016,01,01,54,"Nutcracker - Royal Ballet, London 2015/2016 (Ballet), The",UK,659,Royal Opera House,-0.9947340558357896,4,1,659,993116.3303890107
30,2016,01,01,56,45 Years,UK,577,Curzon Artificle Eye,1.7607655502392343,19,2,288.5,1814990
31,2016,01,01,57,Radiator,UK,532,Picture House Entertainment,0.5739644970414202,6,3,177.33333333333334,27505
32,2016,01,01,57,Radiator,UK,532,Picture House Entertainment,0.5739644970414202,6,3,177.33333333333334,27505
33,2016,01,01,58,Burnt,UK/USA,494,Entertainment, - ,9,2,247,1093148.120303899
34,2016,01,01,17,Carol,UK/USA,55934,StudioCanal,0.91,6,45,1242.9777777777779,2265361
35,2016,01,01,20,Ho Mann Jahaan,Pak,42746,ARY Film, - ,1,21,2035.5238095238096,42746
36,2016,01,01,27,Le Mepris (Re: 2016),Fra,10962,BFI, - ,1,11,996.5454545454545,10962
37,2016,01,01,29,Sleeping with Other People,USA,10197,Icon, - ,1,15,679.8,10197
38,2016,01,01,32,Delibal,Tur,6423,AF-Media, - ,1,1,6423,6423
39,2016,01,01,65,At Any Price,USA,346,StudioCanal, - ,1,2,173,346
40,2016,01,08,1,Star Wars: The Force Awakens,UK/USA,6001948,Disney,-0.41992969510189104,4,634,9466.794952681388,108430730
41,2016,01,08,2,The Hateful Eight,USA,2778633,Entertainment,-,1,402,6912.022388059701,2778633
42,2016,01,08,3,Daddy's Home,USA,2268945,Paramount,-0.21999977311034438,3,466,4868.980686695279,11861574
43,2016,01,08,4,The Danish Girl,UK/Ger,1294024,Universal,-0.062296335281353,2,545,2374.355963302752,3794176.04802155
44,2016,01,08,5,Joy,USA,1047139,20th Century Fox,-0.3119288601285149,2,532,1968.3063909774437,3363525
45,2016,01,08,6,Snoopy And Charlie Brown: The Peanuts Movie,UK,693575,20th Century Fox,-0.468109581351262,3,548,1265.647810218978,8376110
46,2016,01,08,7,The Good Dinosaur,USA,438680,Disney,-0.487138718524875,7,524,837.175572519084,13229402
47,2016,01,08,8,"The Hunger Games: Mockingjay, Part 2",USA,240095,Lionsgate,-0.3201427135393808,8,207,1159.87922705314,28865260
48,2016,01,08,9,In The Heart Of The Sea,UK/USA,202774,Warner Bros,-0.5376093985871109,3,330,614.4666666666667,2405515
49,2016,01,08,10,Bridge of Spies,USA,179554,20th Century Fox,0.3095998716321678,7,157,1143.656050955414,7156826
50,2016,01,08,11,SPECTRE,UK/USA,177422,Sony Pictures,-0.36484149855907777,11,148,1198.7972972972973,94583867
51,2016,01,08,12,Sisters,USA,136952,Universal,-0.153237374486818,4,158,866.7848101265823,2630710
52,2016,01,08,13,The Lady in the Van,UK,85437,Sony Pictures,0.499710368797065,9,63,1356.142857142857,12130178
53,2016,01,08,14,Wazir,Ind,78647,Reliance Big Pictures ,-,1,33,2383.242424242424,78647
54,2016,01,08,15,Bajirao Mastani,Ind,73817,Eros,-0.512049341206765,4,42,1757.547619047619,1275693.327513036
55,2016,01,08,16,Carol,UK/USA,72305,StudioCanal,0.26862005439073605,7,58,1246.6379310344828,2384716
56,2016,01,08,19,Brooklyn,UK/Ire/Can,51823,Lionsgate,0.49794773962307787,10,45,1151.6222222222223,5185545
57,2016,01,08,20,Pan,UK/USA/Aus,41741,Warner Bros,-0.10572885422915416,13,224,186.34375,9098721
58,2016,01,08,21,Branagh Theatre Live: The Winter’s Tale 2015 (Theatre),UK,38720,Picture House Entertainment,-0.8323932943293284,8,26,1489.2307692307693,1734166.8795305237
59,2016,01,08,22,Bolshoi Babylon,UK,35587,Altitude,-,1,100,355.87,35587
60,2016,01,08,29,The Lobster,UK/Fra/Gre/Ned/Ire,14656,Element Pictures,0.28787346221441124,13,11,1332.3636363636365,1421765
61,2016,01,08,33,Sunset Song,UK/Lux,9562,Metrodome,0.48593628593628596,6,10,956.2,387037
62,2016,01,08,34,Steve Jobs,UK/USA,8319,Universal,0.6905100589311115,9,8,1039.875,2302882
63,2016,01,08,40,Jane Eyre - NT Live 2015 (Theatre),UK,4739,National Theatre/ Picture House Entertainment,2.7521773554967996,6,4,1184.75,495666.61369722104
64,2016,01,08,41,Doctor Zhivago (Re: 2015),UK/USA/Ita,4297,BFI,0.746747967479675,7,4,1074.25,91923
65,2016,01,08,44,Peggy Guggenheim: Art Addict,UK/USA/Ita,3267,Dogwoof,0.7545649838882922,5,4,816.75,75407
66,2016,01,08,45,"The Nutcracker - Royal Ballet, London 2015/2016 (Ballet)",UK,2816,Royal Opera House,3.2731411228996485,5,2,1408,998623.3303890128
67,2016,01,08,46,Victor Frankenstein,UK/USA,2461,20th Century Fox,0.2549719530851607,6,3,820.3333333333334,922686
68,2016,01,08,50,Exhibition on Screen: Goya – Visions of Flesh and Blood (Exhibition),UK,1270,Arts Alliance,-,7,1,1270,37475.08102836051
69,2016,01,08,53,Suffragette,UK,970,20th Century Fox,-0.5749342681858021,13,2,485,9848039
70,2016,01,08,63,Hector,UK,454,Miracle Communications,-0.4575866188769416,5,2,227,44767
71,2016,01,08,75,Star Men,UK/Can/USA,161,Verve,-,8,1,161,3582
72,2016,01,08,80,Miss You Already,UK/USA,45,eOne Films,-0.43037974683544317,16,2,22.5,1464536
73,2016,01,08,81,A Christmas Star,UK,19,Signature Entertainment,-0.9489247311827956,9,2,9.5,89495
74,2016,01,08,82,Everest,UK/USA/Ice,11,Universal,-0.9568627450980393,17,1,11,10614749
75,2016,01,08,25,Beauty And The Bestie,Phil,19233,ABS-CBN Distributors,-,1,5,3846.6,19333.14000000147
76,2016,01,08,27,A War,Den,17356,StudioCanal,-,1,18,964.2222222222222,17356
77,2016,01,08,32,Kocan Kadar Konus: Dirilis,Ind,11817,Kinostar,-,1,4,2954.25,11817
78,2016,01,08,39,Partisan,Aus,4890,Metrodome,-,1,2,2445,4890
79,2016,01,08,49,The Last Hijack,NLD,1397,Wildcard,-,1,1,1397,1397
80,2016,01,08,57,Adi Kapyare Kootamani,Ind,700,Swamy Movies,-,1,8,87.5,700
81,2016,01,08,67,Charlie,Ind,332,RFT Films,-,1,1,332,332
82,2016,01,15,1,The Revenant,USA,5235851,20TH FOX,-,1,589,8889.390492359933,5235851
83,2016,01,15,2,Star Wars: The Force Awakens,UK/USA,3137258,DISNEY,-0.47897175385574037,5,614,5109.540716612378,113955827
84,2016,01,15,3,Creed,USA,2221758,WARNER,-,1,482,4609.45643153527,2221758
85,2016,01,15,4,Daddy's Home,USA,1500364,PARAMOUNT,-0.3395596283591202,4,473,3172.016913319239,14076257
86,2016,01,15,5,The Hateful Eight,USA,1107520,ENTERTNMT,-0.6013978715210672,2,412,2688.1553398058254,5205649
87,2016,01,15,6,The Danish Girl,UK/Ger,683272,UNIVERSAL,-0.4731926809863836,3,518,1319.0579150579151,5482504.8548252
88,2016,01,15,7,Room,Ire/Can,674033,STUDIOCANAL,-,1,197,3421.48730964467,674033
89,2016,01,15,8,Snoopy and Charlie Brown: The Peanuts Movie,USA,473952,20TH FOX,-0.3184439967385537,4,543,872.8397790055249,8923242
90,2016,01,15,9,Joy,USA,417965,20TH FOX,-0.6020457323923817,3,435,960.8390804597701,4383315
91,2016,01,15,10,Les Pecheurs de Perles - Met Opera 2016 (Opera),USA,354738,BY EXP,-,1,172,2062.4302325581393,354738
92,2016,01,15,11,The Good Dinosaur,USA,292891,DISNEY,-0.33678499534670975,8,489,598.959100204499,13565698
93,2016,01,15,12,Bridge of Spies,USA,112021,20TH FOX,-0.37923715899078453,8,196,571.5357142857143,7434272
